id	isolate	aliases	country	year	disease	source	epidemiology	species	serogroup	genogroup	genogroup_notes	capsule_group	serotype	bioproject_accession	biosample_accession	ENA_run_accession	sender	strain_designation	Bact_rmlstc_20	Bact_rmlstc_10	Bact_rmlstc_5
50169	WG41063		UK [England]	2015	carrier	throat swab	carrier	Neisseria lactamica	NG	cnl		cnl				ERR1770989	161	cnl: P1.ND,ND: F5-17: ST-11854 (cc1494)	196	564	15220
9094	831		Malawi	NA				Neisseria lactamica									8	ND: P1.ND,ND: F-ND: ST-6234 ()			
61452	M46213		USA	2018	meningitis	throat swab		Neisseria macacae									364	ND: P1.ND,ND: F-ND: ST-13788 ()			
43425	02_01105_XS1_1		Mali	2010	carrier	throat swab		Neisseria maigaei								ERR1730410	271	ND: P1.ND,ND: F6-2: ST-15713 ()	6106	9940	14275
42016	EMn044	ECVESMn044	South Korea	2015	carrier	throat swab	carrier	Neisseria meningitidis	B			B					348	B: P1.ND,ND: F-ND: ST-11949 ()			
92767	Nm_21-18		Portugal	2018	septicaemia	blood	sporadic case	Neisseria meningitidis		B		B					110	B: P1.18,25-61: F1-5: ST-414 (cc41/44)	169	476	698
1659	0297/93		Czech Republic	1993	carrier	throat swab	carrier	Neisseria meningitidis	C	C	C backbone: All essential capsule genes intact and present. Prediction code: https://github.com/ntopaz/characterize_neisseria_capsule.	C	4			ERR137137	5	C: P1.18-1,34: F1-9: ST-101 ()	169	476	698
38926	P88		Italy	2013	carrier	throat swab	carrier	Neisseria meningitidis	NG	cnl		cnl					280	cnl: P1.18,25-1: F5-5: ST-10775 (cc198)	169	519	900
91974	2132/10		Poland	2010	meningitis and septicaemia	CSF		Neisseria meningitidis	B			B					187	B: P1.7-2,13-1: F5-8: ST-1001 (cc18)			
6663	20473		Ireland	2001	carrier	throat swab	carrier	Neisseria meningitidis									93	ND: P1.ND,ND: F-ND: ST-4731 ()			
84884	DE13752		Germany	2016	septicaemia	blood	sporadic case	Neisseria meningitidis	W		Script failed to predict genogroup with high confidence. Prediction code: https://github.com/ntopaz/characterize_neisseria_capsule.	W					52	W: P1.5,2: F3-27: ST-11 (cc11)	169	475	696
85767	P4352		Brazil	2013				Neisseria meningitidis	C			C					465	C: P1.22,14-6: F1-1: ST-13601 ()			
75065	DE14525		Germany	2019	invasive (unspecified/other)	blood	sporadic case	Neisseria meningitidis	B	B	B backbone: csb fragmented (19.75% cov),csb fragmented (77.91% cov). Prediction code: https://github.com/ntopaz/characterize_neisseria_capsule.	B					52	B: P1.7-2,4: F1-5: ST-42 (cc41/44)	169	476	698
38030	M15 240321		UK [England]	2015	invasive (unspecified/other)			Neisseria meningitidis	B	B		B				ERR985955	225	B: P1.22,9: F5-12: ST-8616 (cc269)	169	495	731
99865	20755		Spain	2013	meningitis and septicaemia	blood		Neisseria meningitidis	B			B					135	B: P1.22,14: F5-5: ST-ND (-)			
6749	82-13114		UK [Scotland]	1982	invasive (unspecified/other)	CSF		Neisseria meningitidis	B			B	NT				78	B: P1.ND,ND: F-ND: ST-4816 (cc8)			
61175	NmissMEN20		Italy	2016	carrier			Neisseria meningitidis		NG	Unclear backbone: Capsule genes present shared across multiple SGs. Prediction code: https://github.com/ntopaz/characterize_neisseria_capsule.	NG					295	NG: P1.19-1,13-9: F1-8: ST-13568 ()	169	23223	30448
11708	16539		Spain	2004	meningitis	CSF		Neisseria meningitidis	B			B	14				135	B: P1.5-1,2-2: F-ND: ST-7009 (cc60)			
3011	68843		USA	NA	carrier			Neisseria meningitidis									3	ND: P1.ND,ND: F-ND: ST-2047 (cc198)			
30738	IE13Nm44	2013/M64	Ireland	2013	invasive (unspecified/other)	blood		Neisseria meningitidis	B	B		B				ERR654792	91	B: P1.22,14: F3-7: ST-1194 (cc41/44)	169	476	698
29667	M00 241657		UK	2000				Neisseria meningitidis	C	C	C backbone: All essential capsule genes intact and present. Prediction code: https://github.com/ntopaz/characterize_neisseria_capsule.	C				ERR558057	225	C: P1.5-1,10-8: F3-6: ST-11 (cc11)	169	475	695
7405	3737		Poland	1998	carrier	throat swab	healthy contact	Neisseria meningitidis									112	ND: P1.ND,ND: F-ND: ST-5299 ()			
23807	FRLNP17418		France	2000	invasive (unspecified/other)			Neisseria meningitidis									91	ND: P1.5,2: F1-7: ST-1940 (cc60)			
4127	MD01384		USA	2001	meningitis	blood	sporadic case	Neisseria meningitidis	C			C					80	C: P1.5,2: F-ND: ST-2961 (cc11)			
82617	ExNm708		Australia	NA				Neisseria mucosa									304	ND: P1.ND,ND: F-ND: ST-16480 ()	31378	45286	59750
38977	LNP17862		France	NA				Neisseria mucosa									75	ND: P1.ND,ND: F5-19: ST-16006 ()			
49355	CCUG 32112	BennettTree43; LNP 12897	Sweden	1993	invasive (unspecified/other)	blood		Neisseria mucosa								ERR160725	8	ND: P1.ND,ND: F5-19: ST-12048 ()	240	645	999
21061	CCUG 17327		Sweden	1985				Neisseria mucosa									8	ND: P1.ND,ND: F5-19: ST-10150 ()	213	580	874
82619	ExNm711		Australia	NA				Neisseria mucosa									304	ND: P1.ND,ND: F-ND: ST-16482 ()	31379	45287	59751
45355	LNP28655		France	2016	carrier			Neisseria mucosa									75	ND: P1.ND,ND: F5-19: ST-16036 ()			
46270	919_NLAC		USA	NA		other		Neisseria mucosa									271	ND: P1.ND,ND: F-ND: ST-15717 ()	6230	10169	14623
21043	CCUG 26474	CIP 5956; Fleming 6; ITM 3378; NCTC 4591	UK [England]	NA		throat swab		Neisseria mucosa								ERR033103	8	ND: P1.ND,ND: F-ND: ST-10254 ()	224	591	887
49361	CCUG 24847	BennettTree49; Riou N7939	Unknown	NA				Neisseria mucosa								ERR160735	8	ND: P1.ND,ND: F5-19: ST-ND (-)	208	573	867
21517	LNP 405		Unknown	NA				Neisseria mucosa									8	ND: P1.ND,ND: F-ND: ST-3706 ()			
